Country,Mintage_year,Mint_count,Description,Image,YearID,Price,Country_map_name
Vatican City,2014,103000,25 Years since the Fall of the Berlin Wall,https://www.coin-database.com/images/Vatican-City/3485-v.jpg,0,49.0,Vatican City
Malta,2014,300000,200 Years Malta Police Force,https://www.coin-database.com/images/Malta/3544.jpg,1,15.95,Malta
Latvia,2014,1000000,Riga,https://www.coin-database.com/images/Latvia/3602-v.jpg,0,3.9,Latvija
Andorra,2014,100000,20 years in the Council of Europe,https://www.coin-database.com/images/Andorra/4879-v.jpg,0,33.9,Andorra
Germany,2014,30824000,Niedersachsen: St. Michael zu Hildesheim,https://www.coin-database.com/img/2euro/2014de-v.jpg,0,3.9,Deutschland
Slovakia,2014,1000000,10 Years of Slovakian Membership in European Union,https://www.coin-database.com/images/Slovakia/315-v.jpg,1,3.9,Slovensko
Portugal,2014,520000,40th Anniversary of the Carnation Revolution,https://www.coin-database.com/images/Portugal/3440-v.jpg,0,4.5,Portugal
France,2014,3020000,70th Anniversary of the D-Day,https://www.coin-database.com/images/France/3360-v.jpg,1,3.5,France
Netherlands,2014,5035000,The Double Portrait 2014,https://www.coin-database.com/images/Netherlands/3608-v.jpg,0,3.5,Nederland
Belgium,2014,1750000,100 Years After the Beginning of the First World War,https://www.coin-database.com/images/Belgium/3465-v.jpg,0,3.9,Belgique/België
Greece,2014,752500,400 years since the Death of Domenikos Theotokopoulos,https://www.coin-database.com/images/Greece/3592-v.jpg,1,4.9,Elláda
Greece,2014,752500,150th Anniversary of the Union of the Ionian Islands with Greece,https://www.coin-database.com/images/Greece/3593-v.jpg,0,6.5,Elláda
Finland,2014,1500000,100th Anniversary of the Birth of Tove Jansson,https://www.coin-database.com/images/Finland/3584-v.jpg,1,3.5,Suomi/Finland
San Marino,2014,110000,500th Anniversary of the death of Bramante Lazzari delle Penne di San Marino,https://www.coin-database.com/images/San-Marino/3541-v.jpg,1,39.0,San Marino
Belgium,2014,287500,150 Years of Red Cross in Belgium,https://www.coin-database.com/images/Belgium/3685-v.jpg,1,21.0,Belgique/België
San Marino,2014,100000,90th Anniversary of the Death of Giacomo Puccini,https://www.coin-database.com/images/San-Marino/3484-v.jpg,0,34.9,San Marino
Slovenia,2014,1006500,600th Anniversary of the Coronation of Barbara of Cilli,https://www.coin-database.com/images/Slovenia/3293-v.jpg,0,3.99,Slovenija
Luxembourg,2014,510000,50th Anniversary of the Accession to the Throne of Grand Duke Jean,https://www.coin-database.com/images/Luxembourg/3687-v.jpg,0,4.2,Luxembourg
Portugal,2014,520000,International Year of Family Farming,https://www.coin-database.com/images/Portugal/3469-v.jpg,1,4.2,Portugal
Finland,2014,1000000,Ilmari Tapiovaara and the Art of Interior Design,https://www.coin-database.com/images/Finland/3645-v.jpg,0,5.5,Suomi/Finland
France,2014,3000000,World AIDS Day 2014,https://www.coin-database.com/images/France/3468-v.jpg,0,3.5,France
Spain,2014,12035000,Juan Carlos / Felipe VI,https://www.coin-database.com/images/Spain/3720-v.jpg,0,3.9,España
Malta,2015,405000,Republic 1974,https://www.coin-database.com/images/Malta/3047-v.jpg,1,5.85,Malta
Slovenia,2015,985000,2000th Anniversary of the Founding of Emona,https://www.coin-database.com/images/Slovenia/3486-v.jpg,0,3.5,Slovenija
Germany,2015,30517100,25 Jahre Deutsche Einheit,https://www.coin-database.com/images/Germany/3648-v.jpg,1,3.2,Deutschland
Vatican City,2015,122000,World Meeting Of Families 2015,https://www.coin-database.com/images/Vatican-City/3902-v.jpg,0,39.0,Vatican City
Spain,2015,8000000,Cave of Altamira,https://www.coin-database.com/images/Spain/3904-v.jpg,0,4.5,España
France,2015,4020000,70 Years of United Nations,https://www.coin-database.com/images/France/3905-v.jpg,0,3.5,France
San Marino,2015,102400,750th Anniversary of the Birth of Dante Alighieri,https://www.coin-database.com/images/San-Marino/3907-v.jpg,1,29.0,San Marino
Portugal,2015,520000,500 Years of Portugiesisch-Timor,https://www.coin-database.com/images/Portugal/3909-v.jpg,1,4.2,Portugal
Latvia,2015,1000000,Presidency of the Council of the European Union,https://www.coin-database.com/images/Latvia/3910-v.jpg,0,3.9,Latvija
Latvia,2015,1010000,Stork,https://www.coin-database.com/images/Latvia/3926-v.jpg,1,3.5,Latvija
Italy,2015,3500000,EXPO Milan 2015,https://www.coin-database.com/images/Italy/3940-v.jpg,1,3.5,Italia
Italy,2015,3500000,750th Anniversary of the Birth of Dante Alighieri,https://www.coin-database.com/images/Italy/3941-v.jpg,0,4.5,Italia
Malta,2015,325000,100th Anniversary of the First Flight of Malta,https://www.coin-database.com/images/Malta/3961-v.jpg,0,7.9,Malta
Portugal,2015,520000,150 Years of Red Cross in Portugal,https://www.coin-database.com/images/Portugal/3963-v.jpg,0,4.2,Portugal
Luxembourg,2015,1400000,15th anniversary of the accession to the throne of H.R.H. the Grand Duke,https://www.coin-database.com/images/Luxembourg/4019-v.jpg,0,3.5,Luxembourg
Finland,2015,500000,150th Anniversary of the Birth of Akseli Gallen-Kallela,https://www.coin-database.com/images/Finland/4106-v.jpg,0,4.9,Suomi/Finland
France,2015,4000000,225th Anniversary of the Fête de la Fédération,https://www.coin-database.com/images/France/4128-v.jpg,1,4.5,France
Lithuania,2015,1010000,Lithuanian language,https://www.coin-database.com/images/Lithuania/4174-v.jpg,0,4.5,Lietuva
Luxembourg,2015,1400000,125th anniversary of the House of Nassau-Weilburg,https://www.coin-database.com/images/Luxembourg/4175-v.jpg,1,4.9,Luxembourg
Monaco,2015,10000,800th Anniversary of the Construction of the first Fortress on the Rock 1215,https://www.coin-database.com/images/Monaco/4180-v.jpg,0,3390.0,Monaco
